,Gender,Core_Ind,Parent_Same_LastName,ACU_Distance,PRIZM_HouseholdIncome,QUAL_Familiarity,QUAL_Rank,HS_SIZE,HS_RankPercent,HS_GPA_CALC,NUM_Advanced_Courses,ACT,Visited,Taylor_County,US,Abilene,Texas,CoC,Ethnicity
264274,2,0,2,180.0,60599.0,2.0,3.0,604.0,21.03,1.9318,0.0,18.0,0,0,1,0,1,0,1
264275,1,0,2,5.0,113660.0,0.0,0.0,407.0,77.89,3.7514286,0.0,14.0,0,0,1,1,1,0,1
264280,1,0,2,209.0,84103.0,2.0,3.0,755.0,41.85,3.5069999999999997,7.0,23.0,0,0,1,0,1,0,2
264283,1,0,2,353.0,60520.0,4.0,4.0,269.0,52.04,2.83,3.0,16.0,0,0,1,0,1,0,2
264284,1,0,2,150.0,33500.0,0.0,0.0,657.0,66.21,3.6304,0.0,21.0,0,0,1,0,1,0,2
264286,1,0,0,160.0,31218.0,0.0,0.0,51.0,84.31,3.5869999999999997,3.0,19.0,0,0,1,0,1,0,1
264295,1,0,2,152.0,42635.0,0.0,0.0,584.0,65.75,3.17,0.0,17.0,1,0,1,0,1,0,2
264296,1,0,2,390.0,37056.0,0.0,0.0,454.0,99.78,4.0,0.0,31.0,0,0,1,0,0,0,1
264297,1,0,2,292.0,113725.0,1.0,2.0,1092.0,35.16,3.295,2.0,17.0,1,0,1,0,1,0,1
264298,1,0,2,116.0,89352.0,0.0,0.0,440.0,95.23,4.486000000000001,11.0,28.0,0,0,1,0,1,0,3
264299,1,0,2,181.0,86687.0,2.0,3.0,1260.0,60.48,3.6,9.0,24.0,0,0,1,0,1,0,3
264311,1,0,2,321.0,90625.0,3.0,3.0,43.0,53.49,3.2321,0.0,21.0,0,0,1,0,1,1,2
264317,1,0,2,226.0,28140.0,2.0,3.0,417.0,87.53,3.833,10.0,20.0,0,0,1,0,1,0,2
264318,2,0,0,157.0,30000.0,0.0,0.0,88.0,32.95,2.885,0.0,14.0,0,0,1,0,1,0,3
264321,2,0,2,205.0,48790.0,2.0,3.0,605.0,56.53,3.512,5.0,19.0,0,0,1,0,1,0,3
264322,1,0,2,1081.0,86687.0,0.0,0.0,539.0,8.91,2.19,0.0,20.0,0,0,1,1,0,0,4
264324,1,0,2,563.0,96324.0,0.0,0.0,469.0,56.29,3.15,1.0,19.0,0,0,1,0,0,0,1
264333,1,0,2,172.0,61413.0,2.0,3.0,454.0,83.26,3.47,10.0,25.0,1,0,1,0,1,0,1
264337,1,0,2,164.0,117411.0,2.0,3.0,110.0,95.45,4.0,0.0,28.0,1,0,1,0,1,0,1
264341,2,0,2,129.0,107760.0,0.0,0.0,90.0,83.33,3.7,8.0,21.0,1,0,1,0,1,0,1
264345,1,1,2,214.0,125053.0,0.0,0.0,46.0,28.26,1.72,0.0,16.0,0,0,1,0,1,1,1
264347,2,0,2,180.0,74412.0,0.0,0.0,1560.0,82.82,3.9819999999999998,10.0,32.0,0,0,1,0,1,0,1
264350,1,0,2,185.0,64000.0,0.0,0.0,510.0,85.49,3.72,8.0,22.0,0,0,1,0,1,0,2
264352,2,0,2,182.0,57840.0,2.0,2.0,537.0,63.13,2.59,8.0,22.0,0,0,1,0,1,0,3
264361,2,0,2,152.0,102833.0,0.0,0.0,625.0,76.0,2.99,11.0,22.0,0,0,1,0,1,1,1
264362,1,0,2,161.0,33772.0,0.0,0.0,90.0,17.78,2.71,9.0,21.0,1,0,1,0,1,0,2
264363,1,0,1,207.0,84178.0,0.0,0.0,427.0,27.17,2.9,0.0,17.0,0,0,1,0,1,0,3
264367,2,0,2,293.0,50203.0,0.0,0.0,814.0,56.02,3.91,12.0,21.0,1,0,1,0,1,0,2
264368,1,1,1,7.0,47166.0,3.0,4.0,235.0,77.45,3.864,7.0,23.0,1,0,1,1,1,0,3
264381,2,0,2,155.0,21895.0,0.0,0.0,465.0,88.39,4.0,13.0,25.0,0,0,1,0,1,0,4
264383,1,1,2,4.0,80577.0,3.0,4.0,372.0,65.32,3.58,3.0,21.0,1,0,1,1,1,0,4
264386,2,0,2,171.0,40089.0,0.0,0.0,216.0,40.28,2.31,0.0,15.0,0,0,1,0,1,0,2
264387,1,0,2,315.0,97680.0,2.0,3.0,124.0,41.94,2.56,2.0,21.0,0,0,1,0,1,0,2
264389,2,1,2,959.0,34322.0,0.0,0.0,620.0,59.03,3.05,0.0,17.0,0,0,1,1,0,1,3
264392,1,0,2,341.0,71983.0,2.0,3.0,300.0,81.67,4.5,0.0,20.0,0,0,1,0,1,0,3
264396,1,0,1,168.0,44844.0,2.0,2.0,65.0,44.62,3.28,13.0,20.0,1,0,1,0,1,0,3
264398,2,0,2,136.0,116134.0,2.0,3.0,381.0,49.08,2.7769999999999997,0.0,16.0,1,0,1,0,1,0,2
264399,2,0,2,240.0,55391.0,0.0,0.0,422.0,74.17,3.7591,13.0,25.0,0,0,1,0,1,1,1
264400,2,0,2,278.0,54448.0,0.0,0.0,641.0,89.24,3.85417,0.0,24.0,0,0,1,0,1,0,1
264402,1,0,2,133.0,61141.0,0.0,0.0,36.0,22.22,3.52,17.0,17.0,0,0,1,0,1,0,2
264403,1,0,2,79.0,88216.0,2.0,3.0,64.0,35.94,3.23,1.0,21.0,0,0,1,1,1,0,1
264407,2,0,1,225.0,97857.0,2.0,4.0,664.0,87.2,3.34,8.0,22.0,0,0,1,0,1,1,3
264411,2,0,2,290.0,49562.0,2.0,3.0,342.0,73.68,4.4,4.0,20.0,1,0,1,0,1,1,2
264418,1,0,2,584.0,139516.0,2.0,2.0,489.0,93.05,3.43,10.0,22.0,0,0,1,1,0,0,2
264419,2,0,2,217.0,63443.0,0.0,0.0,94.0,20.21,2.81,0.0,17.0,0,0,1,0,1,0,3
264420,1,0,2,131.0,36307.0,2.0,0.0,422.0,98.34,4.0,0.0,24.0,1,0,1,0,1,0,1
264436,1,0,2,147.0,86067.0,2.0,3.0,591.0,45.01,3.388,0.0,19.0,0,0,1,0,1,0,2
264443,1,0,2,469.0,54351.0,3.0,4.0,23.0,86.96,4.0,0.0,22.0,1,0,1,0,1,0,3
264450,2,0,2,337.0,76599.0,3.0,3.0,544.0,36.21,3.12,5.0,18.0,1,0,1,0,1,0,1
264456,1,0,2,96.0,46625.0,0.0,0.0,208.0,94.23,3.83,9.0,20.0,0,0,1,0,1,0,4
264458,1,0,2,226.0,29342.0,0.0,0.0,362.0,61.6,3.585,2.0,20.0,0,0,1,0,1,0,3
264467,1,0,2,173.0,117756.0,1.0,2.0,439.0,85.65,3.7,9.0,27.0,1,0,1,0,1,0,1
264469,2,0,2,147.0,85906.0,0.0,0.0,612.0,92.32,4.433,13.0,31.0,0,0,1,0,1,0,1
264472,2,0,2,182.0,73513.0,2.0,3.0,452.0,58.63,3.41,0.0,24.0,0,0,1,0,1,0,1
264473,2,0,2,136.0,93829.0,3.0,2.0,518.0,95.17,3.9,9.0,23.0,0,0,1,0,1,0,2
264483,1,0,2,96.0,43371.0,4.0,4.0,173.0,94.8,3.93,12.0,25.0,1,0,1,0,1,0,1
264484,1,0,2,180.0,124713.0,4.0,3.0,423.0,64.78,3.7,4.0,27.0,1,0,1,0,1,0,1
264485,2,0,2,253.0,32857.0,3.0,4.0,49.0,71.43,3.25,7.0,20.0,1,0,1,0,1,0,3
264489,1,0,2,214.0,68936.0,1.0,3.0,203.0,97.54,3.87,13.0,21.0,1,0,1,0,1,0,1
264492,1,0,2,173.0,117901.0,0.0,0.0,450.0,56.67,3.35,3.0,19.0,0,0,1,0,1,0,2
264494,1,0,2,342.0,80220.0,4.0,3.0,529.0,87.9,3.64,11.0,28.0,0,0,1,0,1,0,1
264495,1,0,2,257.0,34783.0,2.0,3.0,469.0,75.48,3.21,2.0,16.0,0,0,1,0,1,0,3
264496,1,0,2,3.0,26829.0,3.0,2.0,391.0,71.61,3.696,12.0,21.0,0,0,1,1,1,0,1
264498,1,0,2,298.0,68000.0,1.0,1.0,643.0,84.76,3.76,9.0,28.0,0,0,1,0,1,0,1
264503,1,0,2,150.0,76630.0,0.0,0.0,611.0,59.9,3.23,0.0,21.0,0,0,1,0,1,0,4
264515,1,0,2,146.0,64415.0,1.0,3.0,599.0,79.13,3.76,3.0,31.0,0,0,1,0,1,0,3
264516,1,0,2,18.0,66438.0,4.0,3.0,66.0,77.27,4.075,6.0,24.0,1,0,1,1,1,1,1
264518,1,0,2,301.0,89136.0,0.0,0.0,845.0,44.62,3.24,0.0,22.0,0,0,1,0,1,0,3
264521,1,0,2,214.0,57867.0,0.0,0.0,558.0,80.29,3.72,10.0,19.0,0,0,1,0,1,0,3
264523,1,0,2,295.0,107519.0,0.0,0.0,819.0,64.84,3.2,9.0,20.0,0,0,1,0,1,0,1
264524,1,1,2,153.0,82292.0,0.0,0.0,495.0,76.97,4.082,0.0,23.0,1,0,1,0,1,0,1
